entry_time,exit_time,entry_side,exit_side,quantity,entry_price,exit_price,holding_seconds,roundtrip_pnl,exit_order_status
2026-03-19 00:05:21.606686143+00:00,2026-03-19 00:53:14.368505135+00:00,bid,ask,0.08280946143616393,2206.8,2193.2,2872.761818,-1.1262086755318594,pending_cancel
2026-03-19 00:10:31.278537356+00:00,2026-03-19 00:53:14.368505135+00:00,bid,ask,0.0400179554487292,2198.5,2193.2,2563.089967,-0.21209516387827204,pending_cancel
2026-03-19 00:10:31.278537356+00:00,2026-03-19 02:08:36.749730943+00:00,bid,ask,0.031806044694370775,2198.5,2199.3,7085.471193,0.025444835755502406,pending_cancel
2026-03-19 00:56:19.577877022+00:00,2026-03-19 02:08:36.749730943+00:00,bid,ask,0.09047992445312023,2193.2,2199.3,4337.171853,0.5519275391640663,pending_cancel
2026-03-19 01:58:25.326223888+00:00,2026-03-19 02:08:36.749730943+00:00,bid,ask,0.005641444095983092,2198.4,2199.3,611.423507,0.005077299686385296,pending_cancel
2026-03-19 01:58:25.326223888+00:00,2026-03-19 03:18:15.892671953+00:00,bid,ask,0.08220945106222624,2198.4,2215.1,4790.566448,1.3728978327391632,pending_cancel
2026-03-19 03:14:56.697335295+00:00,2026-03-19 03:18:15.892671953+00:00,bid,ask,0.052619158862342835,2205.8,2215.1,199.195336,0.489358177419774,pending_cancel
2026-03-19 03:14:56.697335295+00:00,2026-03-19 03:18:18.493790372+00:00,bid,ask,0.017948765983288942,2205.8,2216.4,201.796455,0.19025691942286116,pending_cancel
2026-03-19 03:18:18.493790372+00:00,2026-03-19 03:19:52.936263370+00:00,ask,bid,0.10339698294882323,2216.4,2224.9,94.442472,-0.8788743550649974,pending_cancel
2026-03-19 03:19:20.040285722+00:00,2026-03-19 03:19:52.936263370+00:00,ask,bid,0.02843301425058066,2220.6,2224.9,32.895977,-0.12226196127750201,pending_cancel
2026-03-19 03:19:20.040285722+00:00,2026-03-19 03:20:35.841827148+00:00,ask,bid,0.07913027419077491,2220.6,2222.2,75.801541,-0.12660843870523267,pending_cancel
2026-03-19 03:19:22.394252038+00:00,2026-03-19 03:20:35.841827148+00:00,ask,bid,0.040386697933080265,2222.8,2222.2,73.447575,0.02423201875986285,pending_cancel
